university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION
Carnegie Mellon University,,56.8,81.3,69.3
Concordia University,,58.3,74.4,63
Dalhousie University,,59.8,65.8,52.8
Dartmouth College,,57.7,86.4,67.6
De La Salle University,,63.1,42.9,58.6
Flinders University,,61.3,64.4,39.9
Fordham University,,62.6,72.1,40.1
Fudan University,,66,,84.3
George Washington University,,61.2,75.2,57.8
Griffith University,,59.5,65.8,62.9
Keio University CEMS MIM,,63.4,21.5,69.4
Maynooth University,,60,64.4,68.6
McMaster University,,60.7,55.4,71.7
Michigan State University,,56.9,80.7,56.6
Nanjing University,,65.3,13.5,71.9
National Taiwan Normal University,,67,13.5,59.8
Oxford Brookes University,,59.6,66.5,76.7
Shanghai Jiao Tong University,,59.8,64.4,83.5
Sogang University,,65.8,21.5,74.4
Universidad de Chile,,61.3,66,64.1
University of Granada,,59.8,51.7,75.2
University of Salamanca,,59.6,65.8,48.7
University of Milan,,63.4,35,64.6
Universitat Autònoma de Barcelona,,59.7,50.6,65.6
Universitat de Barcelona,,63,50.1,71
Université Paris Diderot - Paris 7,,65.8,31.5,37.5
University at Buffalo SUNY,,61.4,85.6,43.6
The University of Arizona,,61.4,65.8,66.8
University of Bern,,63,54.2,46.9
University of Calgary,,60.4,67.7,65.4
"University of California, Santa Cruz",,62.5,76.8,46.1
University of Essex,,64,65.8,43.5
University of Florida,,58.3,65.1,60.3
University of Geneva,,64.1,48.6,56.4
University of Lausanne,,60.2,51.6,59.8
University of Limerick,,62.2,45,73.6
"The University of Newcastle, Australia (UON)",,60.8,60.4,63
University of Oregon,,63.5,60.4,36.9
University of Ottawa,,60,56.5,66.5
University of Pittsburgh,,59,89.3,50.6
University of the Philippines,,63.4,35,63.7
University of Wollongong,,62.1,69.5,62.1
Vrije Universiteit Amsterdam,,61.6,50.1,72.6
Washington University in St. Louis,,64.1,65.1,50.3
Zhejiang University,,62.4,38,77.5
