id,university,overall,agriculture-forestry,anatomy-physiology,biological,dentistry,medicine,nursing,pharmacy-pharmacology,psychology,veterinary
111,The Hong Kong Polytechnic University,,,,,,,82.8,,,
198,The University of Western Ontario,72.2,,,,,,,,77.6,
88,The Ohio State University,76,74.7,,,,,,,,84.9
51,The University of Queensland,83.8,79.6,,78.6,,80.3,81.5,83.4,80.6,78.8
108,Lomonosov Moscow State University,,,,,,,,,,
47,New York University (NYU),81,,,77.5,84.7,82.8,83.4,81.4,87.6,
94,University of Alberta,76.5,,,,,,87,81.4,,
144,Erasmus University Rotterdam,80.5,,,,,80.9,,,,
142,University of Basel,79.3,,,,,,,,,
149,McMaster University,79.9,,79.7,,,82.6,83.1,,,
119,Wageningen University,77.2,96.5,,,,,,,,85.3
182,Vrije Universiteit Brussel (VUB),,,,,,,,,,
194,University of Technology Sydney,,,,,,,91.3,,,
136,University of Southern California,75.2,,,,77.7,,,80.7,,
115,Nanjing University,,,,,,,,,,
20,Columbia University,85.6,,91.4,83.5,77.6,88.4,82.6,82.2,85.5,
191,Radboud University,74.5,,,,77.7,,,,,
113,University of Oslo,76.4,,,,77.1,,,,,
53,University of Wisconsin-Madison,79.6,84.3,79.4,78.8,,,,,80.2,83.1
127,University of York,70,,,,,,,,,
167,Eberhard Karls Universität Tübingen,75.4,,,,,,,,,
110,Zhejiang University,70.1,,,,,,,,,
160,Universitat de Barcelona,77.6,,80.8,,,,,,,
134,Aalto University,,,,,,,,,,
52,The University of Warwick,,,,,,,,,,
96,University of Geneva,79.5,,,,,,,82,,
11,Princeton University,75.8,,,83.4,,,,,85.3,
190,King Fahd University of Petroleum & Minerals,,,,,,,,,,
114,University of Groningen,76,,,,,,,,75.7,
162,Michigan State University,72.4,83.3,,,,,,,,86.1
81,The University of Auckland,79.4,,80.1,,,,79.9,,78.3,
97,KTH Royal Institute of Technology,,,,,,,,,,
15,Yale University,89.4,76.4,,87.3,,90,87.7,88.8,90.5,
58,Carnegie Mellon University,,,,,,,,,75.8,
12,National University of Singapore (NUS),86.3,,78.9,83,,83.3,85.1,89,75.9,
31,"University of California, Los Angeles (UCLA)",89.9,,,86.3,83.6,91.2,84.2,,90.4,
156,"University of California, Irvine",73.3,,,,,,,,,
189,University of Sussex,,,,,,,,,,
180,University of Twente,,,,,,,,,,
105,University of Science and Technology of China,,,,,,,,,,
29,The University of Manchester,80.7,,82.4,76.2,81.2,79.8,91.3,87.7,77.6,
92,Purdue University,71.5,83.2,,,,,,86,,81.4
148,The Hebrew University of Jerusalem,72.8,,,,,,,,,
44,The Chinese University of Hong Kong (CUHK),79.2,,,,,79.8,83.1,82.8,,
128,Universidad Nacional Autónoma de México (UNAM),70.5,,78.6,,,,,,,
18,University of Pennsylvania,86,,84.7,82.4,83.6,86.9,95.7,,86.2,88.1
192,Universidade Estadual de Campinas (Unicamp),,74,,,80.1,,,,,
74,Durham University,,,,,,,,,,
129,Lancaster University,,,,,,,,,,
57,University of Amsterdam,82.5,,,,,82.3,,,84.8,
67,University of Texas at Austin,72.6,,,,,,,,79.3,
26,Northwestern University,78.3,,,,,,,,80.3,
40,"University of California, San Diego (UCSD)",87.7,,,85.8,,86.1,,88.5,79.5,
22,The Australian National University,76.7,79.4,84.3,76.8,,,,,76.8,
117,Aarhus University,79.6,,,,83.2,,80.8,,,
132,"University of Maryland, College Park",71.7,,,,,,,,,
80,University of Zurich,81.3,,84.1,,79.8,,,,,
54,Ecole Polytechnique,,,,,,,,,,
83,Pohang University of Science And Technology (POSTECH),,,,,,,,,,
48,KAIST - Korea Advanced Institute of Science & Technology,,,,,,,,,,
33,"Ecole normale supérieure, Paris",,,,,,,,,,
140,Cardiff University,75.4,,,,,,,,76.9,
37,Kyoto University,81.5,77.5,81.4,83.6,,,,84.4,,
151,National Tsing Hua University,,,,,,,,,,
82,University of Birmingham,77.7,,,,82.2,,,,,
197,University of Calgary,75.2,,,,,,,,,74
62,Delft University of Technology,,,,,,,,,,
35,Seoul National University,82.5,74.8,,,80.9,81.1,,86.3,,73.5
9,Imperial College London,88.6,,,83,,88.8,,84,,
200,Universidad de Chile,,,,,,,,,,
16,Cornell University,85.7,87.2,,83.9,,83,,,77.9,92.3
168,Newcastle University,75.1,,,,78.7,,,,,
76,The University of Nottingham,78.9,,79.7,,,,81,91.1,,79.3
73,Lund University,76.6,,,,,,80.5,,,
25,Duke University,86.7,,83.3,79.6,,87,84.3,81.6,81.1,
130,Hokkaido University,72.6,,,,,,,,,
93,University of Leeds,73.8,,81,,,,,,,
164,Technische Universität Berlin (TU Berlin),,,,,,,,,,
1,Massachusetts Institute of Technology (MIT),94,,,95,,88.8,,,89.3,
87,University of Southampton,75.6,,,,,,88.5,,,
181,University of Bern,74.7,,,,81.6,,,,,
5,California Institute of Technology (Caltech),75.2,,,86.4,,,,,,
32,University of Toronto,87.8,,90.5,84,76.5,88.9,89.8,85.3,86.5,
158,Dartmouth College,69.9,,,,,,,,,
121,Humboldt-Universität zu Berlin,69.1,,,,,,,,,
72,Ruprecht-Karls-Universität Heidelberg,81.4,,,78.2,,80.3,,,,
109,Technical University of Denmark,,,,,,,,,,
4,University of Cambridge,95.3,,95.5,93.7,,95.2,,93.9,92.8,90.3
21,King's College London,87.2,,86.1,76.1,88.8,87.6,92.8,90.5,82.8,
